,addresses,zip,lat,long
292,20714 Cactus Loop,78258-7454,29.634377,-98.465784
293,2102 Andros Place,78227-2933,29.410559,-98.625215
294,1114 Onslow,78202,29.428554,-98.443861
295,4906 Wurzbach Pkwy,78238,29.478028,-98.612555
296,10700 Ingram Rd,78245-2103,29.426046,-98.666057
297,1711 Brazos St N,78201,29.444436,-98.511213
298,2054 Buckner Pass,78253-4777,29.453666,-98.731384
299,5903 Sinclair Rd,78222-2431,29.387691,-98.376879
300,6739 Flores St S,78221-1644,29.352938,-98.489393
301,10103 Round Ridge,78254-4555,29.538175,-98.729825
302,5903 Sinclair Rd,78222-2431,29.387691,-98.376879
303,100 Chappie James Way,78236-0122,29.387205,-98.599873
304,9926 Sable Arrow,78251-4332,29.482467,-98.688247
305,300 Dellwood,78216,29.504761,-98.494637
306,2602 Colima St,78207-6605,29.418892,-98.531236
307,2920 Gold Canyon Rd,78259,29.611121,-98.448182
308,1100 Vance Jackson,78257,29.592858,-98.589437
309,6811 Military Dr W,78227-3609,29.404349,-98.629146
310,7515 Westfield Dr,78227-2736,29.407304,-98.638385
311,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
312,1621 Culebra Rd,78201-5914,29.446216,-98.535562
313,502 Mandalay Dr W,78212-1320,29.481271,-98.504439
314,5435 Loop 1604 N W,78221,29.216218,-98.493725
315,231 North Loop Rd E,78216-1812,29.555028,-98.494535
316,8214 Marbach Rd,78227-1618,29.417833,-98.652131
317,851 Avondale Ave,78223-2253,29.370656,-98.44951
318,5138 Utsa Blvd,78249,29.579709,-98.586894
319,8600 Fam Camp Rd,78223,29.335114,-98.435413
320,2200 Evans Rd E,78259,29.636457,-98.455209
321,3435 Southcross Blvd E,78223-1632,29.375698,-98.430007
322,4214 Fondren,78217-1714,29.564487,-98.40751
323,5821 Culebra Rd,78228-5664,29.448505,-98.600628
324,443 Pinewood Ln,78216-6412,29.510216,-98.484201
325,5054 Ayrshire,78217-6436,29.574354,-98.389673
326,179 Howle,78223-3127,29.362119,-98.444111
327,8300 Somerset Rd,78211-4718,29.342635,-98.561976
328,5618 Ocean Side,78242-3219,29.329854,-98.613531
329,715 Baltimore,78212,29.437914,-98.492187
330,8900 Waters Edge Dr,78245,29.425738,-98.660183
331,13007 Nacogdoches Rd,78217-1960,29.559279,-98.39609
332,7003 Cozy Run,,29.425173,-98.494599
333,1420 Gardina St,78201-3316,29.479323,-98.537894
334,5102 Gawain Dr,78218-2705,29.505943,-98.390926
335,7003 Ashdale Rd,78227-1803,29.425021,-98.6283
336,17338 Wayland Run,78247-5821,29.599258,-98.390076
337,8985 Grissom Rd,78251-2815,29.482036,-98.661542
338,7100 Covel,78227,29.360828,-98.640531
339,230 Escalon Ave,78221-1423,29.355501,-98.519682
340,29010 Fairs Gate,,29.425173,-98.494599
341,809 Davy Crockett Rd,78226-1829,29.387397,-98.567358
342,5419 Tulip Rose,78253-5639,29.487274,-98.750244
343,500 Sutton Dr,78228-4261,29.470938,-98.550233
344,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
345,1813 San Angelo Blvd,78201-2351,29.485777,-98.52485
346,6700 Mountain Top,78255-3528,29.688395,-98.65965
347,606 Santa Monica St,78212-1840,29.471527,-98.501785
348,111 Dallas St,78205-1201,29.432877,-98.492773
349,5050 Bending Trails,78247-5677,29.599246,-98.401103
350,809 Davy Crockett Dr,78238-5109,29.456721,-98.60469
351,12946 Texas Gold,78253-3407,29.466553,-98.749321
352,219 Robeson,78220-3127,29.411735,-98.442045
353,7902 Dueling Oak,78254-1750,29.512937,-98.70304
354,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
355,3200 Woodcliffe Dr,78230-5026,29.514656,-98.54352
356,10892 Hillpoint Dr,78217-2866,29.542517,-98.429215
357,202 Rolling Green Dr,78228-2450,29.475439,-98.572659
358,7534 Marbach Rd,78227-1704,29.417784,-98.63718
359,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
360,700 Ira Lee Rd,78218-1735,29.511603,-98.426424
361,6227 Lark Valley Dr,78242-2011,29.355246,-98.625649
362,745 Vfw Blvd,78223-2962,29.369898,-98.47481
363,727 Avalon St,78213-3576,29.497709,-98.527479
364,9800 Wurzbach Rd,78230,29.531673,-98.561532
365,500 Bradshaw,78209,29.488071,-98.438115
366,9510 Wurzbach Rd,78240-1059,29.530143,-98.563101
367,535 Hutchins Place W,78221-2700,29.345644,-98.511497
368,631 Shadwell,78228-4246,29.468913,-98.552001
369,12511 Uhr Ln,78217,29.552729,-98.409218
370,7719 Pasteur Ct,78229-3442,29.509422,-98.566587
371,4000 Piedmont Ave,78223-1217,29.375691,-98.468348
372,10419 Perrin Beitel,78217-3113,29.535118,-98.411098
373,1202 Lombrano St,78207-1441,29.44313,-98.52781
374,211 Hermitage Ct,78223-2039,29.371972,-98.470768
375,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
376,4200 Piedmont Ave,78223-1217,29.375531,-98.468375
377,908 Manor Dr,78228-3256,29.464724,-98.542815
378,818 New Valley Hi Dr,78227,29.378393,-98.646509
379,8671 Loop 410 Sw,78242-2905,29.349142,-98.62852
380,1006 Holbrook,78218-3325,29.488053,-98.417965
381,10750 Nacogdoches Rd,78217-2849,29.537125,-98.424966
382,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
383,1300 Mccullough Ave,78212-5601,29.44064,-98.491842
